Table
PISTOLS ,,,,REVOLVERS ,
TO .22 ,,"139,178 ",,TO .22 ,"63,333 "
TO .25 ,,"10,455 ",,TO .32 ,"2,297 "
TO .32 ,,"29,024 ",,TO .357 MAG ,"68,476 "
TO .380 ,,"107,386 ",,TO .38 SPEC ,"68,785 "
TO 9MM ,,"299,681 ",,TO .44 MAG ,"25,802 "
TO .50 ,,"217,701 ",,TO .50 ,"45,512 "
TOTAL ,,"803,425 ",,TOTAL ,"274,205 "


Table
PISTOLS ,"19,196 "
,
REVOLVERS ,"29,271 "
RIFLES ,"92,098 "
SHOTGUNS ,"46,129 "
MISC. FIREARMS ,"7,988 "


