Key,Value
SHOTGUNS,"1,106,995"
MACHINE GUNS,"22,490"
ALL OTHER NFA WEAPONS,"15,277"
RIFLES,"1,569,685"
MISC. FIREARMS,"39,837"
SHOTGUNS,"67,342"
MACHINE GUNS,"22,255"
RIFLES,"65,669"
YEAR,1999
REVOLVERS,"48,616"
