Table
,,STREET ,CITY ,ST ,RIFLE MFG
,,,FRANKLIN ,GA ,1
LLC ,,2282 MARK WATSON RD ,NASHVILLE ,GA ,4
,,,ALBIA ,IA ,1
,,409 MAIN ST ,HARVEY ,IA ,15
,,,PLYMOUTH ,IA ,1
,,,LISBON ,IA ,47
,,,RATHDRUM ,ID ,631
,,363 SUNSET DR ,ARCO ,ID ,84
,,,WHITE BIRD ,ID ,12
,,,BOISE ,ID ,2
,,4357 FROZEN DOG RD ,EMMETT ,ID ,1
,,9407 GOVERNMENT WAY SUITE #3 ,HAYDEN ,ID ,27
,,,BOISE ,ID ,2
,,,LAKE FORK ,ID ,7
,,3025 LEADVILLE ,BOISE ,ID ,165
,,,PECK ,ID ,5
,,,PECK ,ID ,1
,,2181 COMMERCE AVE ,BOISE ,ID ,8
,,235 RANCH VIEW E ,JEROME ,ID ,16
,,,GENESEO ,IL ,12693
,,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,1441
,,,WAUCONDA ,IL ,46
CO ,,1305 W 11TH ST ,MILAN ,IL ,289
,,,PONTIAC ,IL ,1
,,,STEGER ,IL ,1
,,,ISLAND LAKE ,IL ,8
,,,MT MORRIS ,IL ,25
,,,COLONA ,IL ,22668
,,,WAUCONDA ,IL ,5
,,420 W MAIN ST ,GENESEO ,IL ,15676
,,,KOKOMO ,IN ,2
LLC ,,2394 SPRING ST ,PORTAGE ,IN ,2
,,,FORT WAYNE ,IN ,1


Table
15803875 ,WEST GEORGIA ARMORY LLC ,364 PATTERSON RD
15803381 ,WHIDDEN GUNWORKS ,
54201516 ,,730 NORTH A ST
54201348 ,GORDY'S GUN SHOP INC ,
54200175 ,,24945 VIOLET AVE
54201425 ,MIDWEST METAL CREATIONS LLC ,743 ADAMS AVE
98235032 ,BAT MACHINE CO INC ,11550 N-BRUSS RD
98200639 ,CHEYTAC LLC ,
98235118 ,EVOLUTION INC ,357 YELLOW WOLF RD
98201000 ,,1727 S LATAH ST
98235063 ,,
98200798 ,IDAHO ARMAMENT CO LLC ,
98200437 ,,
98200901 ,,13819 WILD GOOSE CT
98200449 ,,
98233354 ,S D MEACHAM TOOL & HARDWARE CO INC ,37052 EBERHARDT RD
98201043 ,,415 HOWARD ST BLG A
98200317 ,TACTICAL SOLUTIONS LLC ,
98201074 ,,
33636039 ,ARMALITE INC ,745 S HANFORD ST
33637390 ,DS ARMS INC ,
33635626 ,KREBS CUSTOM INC ,1000 RAND RD #106
33637243 ,LEWIS MACHINE & TOOL ,
33701783 ,,14240 E 1200 NORTH RD
33601746 ,MCINTYRE PRECISION INC ,3447 SALLY DR
33601415 ,RDO SPECIALTIES LLC ,3522 HALE LANE
33600873 ,RESEARCH AND TESTING WORX INC ,1 EAST ROUTE 64
33637004 ,ROCK RIVER ARMS INC ,1042 CLEVELAND RD
33601198 ,RT MANUFACTURING CO INC ,1000 RAND ROAD SUITE #212
33635798 ,SPRINGFIELD INC ,
43502022 ,BOBS PAWN ,507 N WASHINGTON STREET
43502501 ,C & J WEAPON SYSTEMS ,
43501991 ,FMT LLC ,1525 MAYFIELD PL


