Key,Value
PISTOLS,"45,053"
REVOLVERS,"34,662"
RIFLES,"80,594"
RIFLES,"1,610,923"
MISC. FIREARMS,"55,461"
YEAR,2007 **
SHOTGUNS,"645,231"
SHOTGUNS,"26,949"
MISC. FIREARMS,"17,524"
