Key,Value
MISC. FIREARMS,"22,748"
RIFLES,"131,718"
PISTOLS,"167,653"
RIFLES,"3,979,570"
MISC. FIREARMS,"495,142"
SHOTGUNS,"49,766"
SHOTGUNS,"1,203,072"
REVOLVERS,"21,236"
