Key,Value
RIFLES,"76,518"
MISC. FIREARMS,"16,771"
PISTOLS,"80,041"
REVOLVERS,"25,286"
SHOTGUNS,"43,361"
RIFLES,"1,830,556 #"
MISC. FIREARMS,"67,929"
SHOTGUNS,"743,378"
