Key,Value
RIFLES,"104,544"
MISC. FIREARMS,523
PISTOLS,"54,030"
REVOLVERS,"28,205"
MISC. FIREARMS,"102,324 #"
SHOTGUNS,"41,186"
SHOTGUNS,"630,710 #"
RIFLES,"1,746,139 #"
