Table
CITY ,ST ,SHOTGUN EXP 
PASO ROBLES ,CA ,678 
NORTH HAVEN ,CT ,85 
MIAMI ,FL ,1845 
SPRINGFIELD ,MA ,167 
WESTFIELD ,MA ,34 
ACCOKEEK ,MD ,203 
NEWPORT ,NH ,68 
RENO ,NV ,48 
ILION ,NY ,2948 
ILION ,NY ,1862 
UPPER SANDUSKY ,OH ,1 
EAGLE PASS ,TX ,33246 
TOOELE ,UT ,1 


Table
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY 
60600252 ,"MARLIN FIREARMS COMPANY, THE ",100 KENNA DR 
15947645 ,BRAZTECH INTERNATIONAL LC ,16175 NW 49TH AVE 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST 
98800913 ,LEGACY SPORTS INTERNATIONAL LLC ,4750 LONGLEY LN STE 207-208 
61601854 ,"H&R 1871, LLC ",14 HOEFLER AVENUE 
61600727 ,REMINGTON ARMS CO INC ,14 HOEFLER AVE 
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST 
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK 
98734836 ,"SMART, ROBERT SUCCESSOR TO TOMLIN, JACK ",1180 WEST UTAH AVE 


