RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MEG
54733288 ,,1777 COUNTY RD 20 ,FREMONT ,NE ,3
60201484 ,,411 SUNAPEE ST ,NEWPORT ,NH ,1304
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET ,ROCHESTER ,NH ,3374
61601854 ,,14 HOEFLER AVENUE ,ILION ,NY ,57345
61600727 ,REMINGTON ARMS CO INC ,14 HOEFLER AVE ,ILION ,NY ,215614
43402108 ,ITHACA GUN COMPANY ,420 N WARPOLE ST ,UPPER SANDUSKY ,0H ,3500
43436235 ,,590 WOODVUE LANE ,WINTERSVILLE ,0H ,1
43437827 ,,14908 N STATE AVE ,MIDDLEFIELD ,0H ,1
99300756 ,,548 MENLO DR N ,KEIZER ,0R ,7
99335096 ,COLE ARMS INC ,2225 PINEHURST DR ,MCMINNVILLE ,0R ,1
82300311 ,,1009 SCHUBERT RD ,BETHEL ,PA ,1
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,1
34600598 ,DAKOTA ARMS LLC ,1310 INDUSTRY RD ,STURGIS ,SD ,18
34600181 ,NIP MANUFACTURING INC ,3541 MAYER AVENUE ,STURGIS ,SD ,10
34600497 ,TANIMURA DAKOTA INDUSTRES INC ,725 12TH ST ,SPEARFISH ,SD ,1
16234916 ,,3184 HWY 45 S ,JACKSON ,TN ,4
57402409 ,BASS TO BUFFALO LP ,12434 BEE CAVE RD ,BEE CAVE ,TX ,4
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,339913
57601494 ,S&M ARMS LLC ,12000 MLK BLVD ,HOUSTON ,TX ,2
57601795 ,,7412 JOHN RALSTON RD ,HOUSTON ,TX ,5
98701005 ,BROWNING ARMS COMPANY ,0NE BROWNING PLACE ,MORGAN ,UT ,1
15403189 ,TANSTAAFL MACHINE TOOL SERVICE INC ,8059 ELM DR ,MECHANICSVILLE ,VA ,1
33933175 ,US COMPETITION ARMS INC ,1925 ROOSEVELT AVE ,RACINE ,WI ,3


