RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,25
93339255,"BRILL, RANDOLPH",6900 DEERING AVE 'K',CANOGA PARK,CA,6
97737552,WEATHERBY INC,1605 COMMERCE WAY,PASO ROBLES,CA,198
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,11197
60600252,"MARLIN FIREARMS COMPANY, THE",100 KENNA DR,NORTH HAVEN,CT,55
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,3440
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,4
46134967,"DRAKE, LEWIS",418 MAIN ST,MURRAY,KY,2
60400253,"H&R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,3016
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,26
85236791,BENELLI USA CORPORATION,901 8TH ST,POCOMOKE,MD,20
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,4019
15603121,BLACKWATER LODGE & TRAINING CENTER INC,850 PUDDIN RIDGE RD,MOYOCK,NC,10
60200735,"STURM, RUGER & COMPANY, INC",529 SUNAPEE ST,NEWPORT,NH,123
82200281,GRIFFIN & HOWE INC,33 CLAREMONT RD,BERNARDSVILLE,NJ,31
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,20905
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,16
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,14678
