RDS KEY,LICENSE NAME,STREET,CITY,ST,MISC FA EXP
93301038,"SUREFIRE, LLC",18300 MT BALDY CIRCLE,FOUNTAIN VALLEY,CA,849
60600520,COLT DEFENSE LLC,547 NEW PARK AVE,WEST HARTFORD,CT,774
60601905,WILDEY F A INC,45 ANGEVINE RD,WARREN,CT,1905
15952429,R/M EQUIPMENT INC,6975-79 NW 43RD ST,MIAMI,FL,1
85202358,LWRC INTERNATIONAL LLC,815 CHESAPEAKE DRIVE,CAMBRIDGE,MD,2
60100956,BUSHMASTER FIREARMS INTERNATIONAL LLC,999 ROOSEVELT TRL,WINDHAM,ME,32
43800250,PIERCE ENGINEERING LTD,5122 N GRAND RIVER,LANSING,MI,11
54301691,ARNOLD DEFENSE AND ELECTRONICS LLC,3000 ARNOLD TENBROOK RD,ARNOLD,MO,21
98101187,DEFIANCE MACHINE INC,3881 MT HWY 40 W,COLUMBIA FALLS,MT,81
98101151,MONTANA RIFLE COMPANY,3174 MT HWY 35,KALISPELL,MT,26
43401651,OHIO ORDNANCE WORKS INC,310 PARK DR,CHARDON,OH,77
43134110,AMERICAN APEX CORPORATION,8515 RAUSCH DRIVE,PLAIN CITY,OH,87
43437065,KELBLY'S RIFLE RANGE INC,7222 DALTON FOX LAKE RD,NORTH LAWRENCE,OH,75
99301643,"BARTELS, JOSEPH C",18111 SW MT ADAMS LOOP BLDG A,POWELL BUTTE,OR,1
82338992,"BORDEN, JAMES F",1325 SHELDON HILL ROAD,SPRINGVILLE,PA,19
82313090,NAVAL CO INC,4747 COLD SPRING CREAMERY RD,DOYLESTOWN,PA,59
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,12646
57541806,STILLERS PRECISION FIREARMS LLC,2405 COUNTRY MEADOW LN,WYLIE,TX,96
57503419,SHILEN RIFLES INC,205 METRO PARK BLVD,ENNIS,TX,6
99102873,"ANDREWS, DENTON P",13263 SNAKE RIVER RD,ASOTIN,WA,3
