RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
97737552,WEATHERBY INC,1605 COMMERCE WAY,PASO ROBLES,CA,678
60600252,"MARLIN FIREARMS COMPANY, THE",100 KENNA DR,NORTH HAVEN,CT,85
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,1845
60401684,SMITH & WESSON CORP,2100 ROOSEVELT AVE,SPRINGFIELD,MA,167
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,34
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,203
60200735,"STURM, RUGER & COMPANY, INC",529 SUNAPEE ST,NEWPORT,NH,68
98800913,LEGACY SPORTS INTERNATIONAL LLC,4750 LONGLEY LN STE 207-208,RENO,NV,48
61601854,"H&R 1871, LLC",14 HOEFLER AVENUE,ILION,NY,2948
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,1862
43402108,ITHACA GUN COMPANY,420 N WARPOLE ST,UPPER SANDUSKY,OH,1
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,33246
98734836,"SMART, ROBERT SUCCESSOR TO TOMLIN, JACK",1180 WEST UTAH AVE,TOOELE,UT,1
