RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,8
97737552,WEATHERBY INC,1605 COMMERCE WAY,PASO ROBLES,CA,195
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,18678
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,1328
15904068,CUBIC SIMULATION SYSTEMS INC,2001 W OAK RIDGE RD,ORLANDO,FL,2
60400253,"H&R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,4348
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,30
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,38
34136974,JP ENTERPRISES INC,15125 FRANCESCA AVENUE,HUGO,MN,3
16400417,DISCOUNT PAWN & JEWELRY CORP,3770 HWY 80 W,JACKSON,MS,1
15603121,"US TRAINING CENTER, INC",850 PUDDIN RIDGE RD,MOYOCK,NC,10
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,694
43401927,DEVAULT INDUSTRIES LLC,3500 12TH ST NW,CANTON,OH,49
99335096,COLE ARMS INC,2225 PINEHURST DR,MCMINNVILLE,OR,1
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,12
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,1532
60300370,CENTURY INTERNATIONAL ARMS INC,236 BRYCE BLVD,GEORGIA,VT,20
