Table
PISTOLS ,"45,053 "
REVOLVERS ,"34,662 "
RIFLES ,"80,594 "
SHOTGUNS ,"26,949 "
MISC. FIREARMS ,"17,524 "


Table
PISTOLS ,,,,REVOLVERS ,
TO .22 ,,"180,419 ",,TO .22 ,"91,963 "
TO .25 ,,"11,361 ",,TO .32 ,"3,509 "
TO .32 ,,"43,914 ",,TO .357 MAG ,"93,320 "
TO .380 ,,"138,484 ",,TO .38 SPEC ,"104,498 "
TO 9MM ,,"391,312 ",,TO .44 MAG ,"46,719 "
TO .50 ,,"454,174 ",,TO .50 ,"51,325 "
TOTAL ,,"1,219,664 ",,TOTAL ,"391,334 "


