Key,Value
MISC. FIREARMS,"1,473"
RIFLES,"1,515,286"
PISTOLS,"22,555"
REVOLVERS,"34,187"
SHOTGUNS,"741,325"
MISC. FIREARMS,"21,700"
RIFLES,"60,644"
YEAR,2002
SHOTGUNS,"31,897"
