Table
PISTOLS ,"32,151 ",
REVOLVERS ,"32,662 ",
RIFLES ,"50,685 ",
SHOTGUNS ,"46,174 ",
MACHINE GUNS ,"10,021 ",
ALL OTHERNFA WEAPONS ,"8,334 ",
MISC. FIREARMS ,"10,939 ",


Table
PISTOLS ,,,,REVOLVERS ,
TO .22 ,,"123,374 ",,TO .22 ,"77,433 "
TO .25 ,,"5,697 ",,TO .32 ,"5,003 "
TO .32 ,,"57,823 ",,TO .39 SPEC ,"85,628 "
TO .380 ,,"41,634 ",,TO .357 MAG ,"50,120 "
TO 9MM ,,"213,378 ",,TO .44 MAG ,"39,515 "
TO .50 ,,"184,930 ",,TO .50 ,"62,444 "
TOTAL ,,"626,836 ",,TOTAL ,"320,143 "


