Key,Value
MISC. FIREARMS,"10,939"
MACHINEGUNS,"56,367"
ALL OTHER NFA WEAPONS,"25,524"
ALL OTHERNFA WEAPONS,"8,334"
PISTOLS,"32,151"
YEAR,2001
SHOTGUNS,"679,813"
MACHINE GUNS,"10,021"
MISC. FIREARMS,"21,309"
REVOLVERS,"32,662"
RIFLES,"1,284,554"
