Key,Value
YEAR,1998
RIFLES,"65,807"
MISC. FIREARMS,"2,513"
MACHINE GUNS,"32,866"
PISTOLS,"29,537"
SHOTGUNS,"1,036,520"
SHOTGUNS,"89,699"
ANY OTHER WEAPON,23
REVOLVERS,"15,788"
MISC. FIREARMS,"24,506"
