Table
PISTOLS ,,,REVOLVERS ,
.22 ,,"195,633 ",TO .22 ,"115,511 "
.25 ,,"14,586 # ",TO .32 ,"6,681 "
.32 ,,"40,485 ",TO .357 MAG ,"105,944 "
.380 ,,"278,945 ",TO .38 SPEC ,"133,621 "
9MM ,,"421,746 ",TO .44 MAG ,"31,135 "
.50 ,,"435,876 # ",TO .50 ,"38,861 "


Table
PISTOLS ,"54,030 ",
REVOLVERS ,"28,205 ",
RIFLES ,"104,544 ",
SHOTGUNS ,"41,186 ",
,,
MISC. FIREARMS ,523 ,


