Table
STREET ,CITY ,ST ,REVOLVERS 
545 NEWPARK AVE ,WEST HARTFORD ,CT ,34 
16175 NW 49TH AVE ,MIAMI ,FL ,10 
16175 NW 49TH AVE ,MIAMI ,FL ,458 
2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,23794 
7110 UNIVERSITY AVE NE ,MINNEAPOLIS ,MN ,13 
529 SUNAPEE ST ,NEWPORT ,NH ,3446 
2150 S 950 E ,PROVO ,UT ,450 
,,,
,,,28205 


Table
60633345 ,COLT'S MANUFACTURING CO LLC 
15947645 ,BRAZTECH INTERNATIONAL LC 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING 
60401684 ,SMITH & WESSON CORP 
34134781 ,MAGNUM RESEARCH INC 
60200735 ,"STURM, RUGER & COMPANY, INC "
98734026 ,NORTH AMERICAN ARMS INC 


