RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
33601491 ,AIRTRONIC USA INC ,1860 JARVIS AVENUE ,ELK GROVE VLG ,IL ,3
33734827 ,,9698 BUCKS RD ,HEYWORTH ,IL ,1
43503284 ,DELAWARE MACHINERY & TOOL CO INC ,700 S MULBERRY ST ,MUNCIE ,IN ,8609
43500341 ,,8816 E 700 N ,NEW CARLISLE ,IN ,64
43503382 ,PRECISION TECHNOLOGIES LLC ,1400 WOHLERT ST ,ANGOLA ,IN ,12
54801933 ,,1409 W NORTHFIELD CT ,LAWRENCE ,KS ,1
54801965 ,ULTRA-TECH INC ,3000 POWER DR ,KANSAS CITY ,KS ,41
46100511 ,DOUBLE STAR CORP ,5600 BYBEE RD ,WINCHESTER ,KY ,11896
46102771 ,IDEAL PRODUCTS INC ,126 CAPITAL CT ,NICHOLASVILLE ,KY ,319
46133576 ,,1200 ONEAL RD ,LONDON ,KY ,1
60401307 ,CORTAZAR LTD ,396 MAIN STREET ,AGAWAM ,MA ,1
60401887 ,HALPERN TITANIUM INC ,4 SPRINGFIELD ST ,THREE RIVERS ,MA ,3
60403406 ,INDEPENDENT PLATING COMPANY INC ,35 NEW ST ,WORCESTER ,MA ,627
60400915 ,RCS DIESEL SERVICE INC ,566 HOLYOKE STREET ,LUDLOW ,MA ,154
60433152 ,,100 SPRINGDALE RD ,WESTFIELD ,MA ,11
85212023 ,DUFFYS INC ,15433 FALLS RD ,SPARKS ,MD ,1
85211500 ,,8725 BOLLMAN PLACE #1 ,SAVAGE ,MD ,1265
60100956 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,811
43804385 ,,2424 OAKVILLE-WALTZ ,NEW BOSTON ,MI ,1
34101144 ,,12156 COUNTY RD 31 NW ,PINE ISLAND ,MN ,4
34102719 ,GUNFIGHTER ARMS LLC ,6194 259TH ST ,WYOMING ,MN ,12
34101861 ,NODAK SPUD LLC ,7683 WASHINGTON AVE S ,EDINA ,MN ,14669
54301691 ,ARNOLD DEFENSE AND ELECTRONICS LLC ,3000 ARNOLD TENBROOK RD ,ARNOLD ,MO ,184
54305437 ,BADGER ORDNANCE LLC ,1141 SWIFT ST ,NO KANSAS CITY ,MO ,133
54306466 ,BLACK DAWN INDUSTRIES LLC ,807 S MARSHALL ,SEDALIA ,MO ,139
54306127 ,BLACK RAIN ORDNANCE INC ,15115 KODIAK RD ,NEOSHO ,MO ,238
54340380 ,,11150 PROGRESS ST ,MOUNT VERNON ,MO ,236
54305892 ,RHINO ARMS LLC ,436 RECYCLE DRIVE ,WASHINGTON ,MO ,221
16401275 ,BAE SYSTEMS RO DEFENSE INC ,48 RAWL SPRINGS LOOP RD ,HATTIESBURG ,MS ,158
98100366 ,LAWTON MACHINE LLC ,580 1/2 NORTH MONTANA STREET ,DILLON ,MT ,510
98101151 ,MONTANA RIFLE COMPANY ,3174 MT HWY 35 ,KALISPELL ,MT ,145
98101163 ,SI DEFENSE INC ,2902 HIGHWAY 93 N ,KALISPELL ,MT ,356
98100982 ,SONJU INDUSTRIAL ,245 SOUTH COMPLEX DRIVE ,KALISPELL ,MT ,2
15603066 ,APPALACHIAN GUNSMITHING INC ,8 SNAPFINGER DR ,WEAVERVILLE ,NC ,11
15604383 ,BAITY'S CUSTOM GUNWORKS ,2623 BOONE TRAIL ,NORTH WILKESBORO ,NC ,2


