Table
PISTOLS ,"275,424 "
REVOLVERS ,"21,676 "
RIFLES ,"158,871 "
SHOTGUNS ,"29,997 "
MISC. FIREARMS ,"2,332 "


Table
PISTOLS ,,REVOLVERS 
TO.22 ,"408,705 ",TO.22 
TO.25 ,"11,135 ",TO.32 
TO .32 ,"8,152 ",TO 357 MAG 
TO .380 ,"848,425 ",TO .38 SPEC 
TO 9MM ,"1,756,618 ",TO .44 MAG 
TO .50 ,"657,971 ",TO.50 
TOTAL ,"3,691,010 ",TOTAL 
RIFLES ,"2,504,092 ",
SHOTGUNS ,"653,139 ",


