Table
CITY ,ST ,SHOTGUN EXP
,AR ,7
GLENDALE ,CA ,
,CT ,1829
,CT ,8331
NORTH HAVEN ,CT ,180
,FL ,2
,IL ,230
WESTFIELD ,MA ,85
,MA ,7152
ACCOKEEK ,MD ,854
,ME ,
NEWPORT ,NH ,246
CARSON CITY ,NV ,
,NY ,8947
HUNTINGTON MILLS ,PA ,
,PA ,10
,SD ,23
EAGLE PASS ,TX ,7190
,VA ,1


Table
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE
99516687 ,CONDOR MFG CO ,415 W MAGNOLIA AVE ,
60636056 ,US REPEATING ARMS COMPANY ,275 WINCHESTER AVE NEW ,HAVEN
60600773 ,0F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN
60600760 ,THE MARLIN FIREARMS CO ,100 KENNA DR ,
15900053 ,FALCON TRADE & TRANSPORATION INC ,1019 HOLBROOK CT #B-3 ,PORT SAINT LUCIE
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO
60433152 ,,100 SPRINGDALE RD ,
60434429 ,H & R 1871 INC NEW ENGLAND FIREARMS CO ,60 INDUSTRIAL ROWE ,GARDNER
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,
60133329 ,,SCHOONER LANDING CHANDLERY MAINE ST ,DAMARISCOTTA
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,
98835309 ,EDMAC INC ,21 CYGNET DR #100 ,
61635527 ,,14 HOEFLER AVE ,ILION
82339431 ,,HCR 64 BOX 33C ,
82533495 ,PENN ARMS INC ,107 PINE ST ,PUNXSUTAWNEY
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT ,
15422338 ,HECKLER & KOCH INC ,PARK 21480 PACIFIC BLVD ,STERLING


