Table
PISTOLS ,"333,266 "
REVOLVERS ,"21,498 "
RIFLES ,"165,573 "
SHOTGUNS ,"27,774 "
MISC. FIREARMS ,"6,126 "


Table
PISTOLS ,,REVOLVERS 
TO.22 ,"417,806 ",TO.22 
TO.25 ,"25,370 ",TO.32 
TO .32 ,"30,306 ",TO 357 MAG 
TO .380 ,"760,812 ",TO .38 SPEC 
TO 9MM ,"2,099,319 ",TO .44 MAG 
TO .50 ,"547,545 ",TO.50 
TOTAL ,"3,881,158 ",TOTAL 
RIFLES ,"2,880,536 ",
SHOTGUNS ,"536,126 ",


