Table
PISTOLS ,,,,REVOLVERS ,
TO .22 ,,"141,651 ",,TO .22 ,"84,452 "
TO .25 ,,"9,625 ",,TO .32 ,"2,242 "
TO .32 ,,"39,197 ",,TO .357 MAG ,"99,562 "
TO .380 ,,"126,939 ",,TO .38 SPEC ,"85,321 "
TO 9MM ,,"352,383 ",,TO .44 MAG ,"54,308 "
TO .50 ,,"351,465 ",,TO .50 ,"56,184 "
TOTAL ,,"1,021,260 ",,TOTAL ,"382,069 "


Table
PISTOLS ,"144,779 "
,
REVOLVERS ,"28,120 "
RIFLES ,"102,829 "
SHOTGUNS ,"57,771 "
MISC. FIREARMS ,"34,022 "


