Key,Value
RIFLES,"1,431,372"
PISTOLS,"19,196"
YEAR,2005 **
MISC. FIREARMS,"23,179"
SHOTGUNS,"709,313"
RIFLES,"92,098"
REVOLVERS,"29,271"
MISC. FIREARMS,"7,988"
