Table
,,STREET ,CITY ,ST ,RIFLE MFG 
"GUN CO., LLC ",,7476 WOODLAND TRACE CT ,SORRENTO ,LA ,3 
LLC ,,529 W MCKINLEY ,HAUGHTON ,LA ,9 
,,DR ,SHREVEPORT ,LA ,2 
RANGE SOLUTIONS LLC ,,1405 FRANK ANDREWS BLVD STE B ,ALEXANDRIA ,LA ,11 
RANGE GUN CLUB INC ,,313 W LAFAYETTE ST ,MAURICE ,LA ,3 
,,ST ,SHREVEPORT ,LA ,5 
,,,FOREST HILL ,LA ,6 
ENTERPRISES LLC ,,100 SHELL LANE ,SCOTT ,LA ,7 
RESEARCH LLC ,,13238 AIRLINE HIGHWAY ,GONZALES ,LA ,8 
& AMMO LLC ,,441 SILVERLEAF ,MANSFIELD ,LA ,3 
LLC ,,8173 S LAKESHORE DRIVE ,SHREVEPORT ,LA ,3 
,,AVE ,SHREVEPORT ,LA ,18 
,,SEGURA PKWY ,NEW IBERIA ,LA ,2 
,,RD ,DUSON ,LA ,4 
COATS & GUNWORKS LLC ,,407 MARDI GRAS RD ,CARENCRO ,LA ,4 
ENTERPRISES LLC ,,44 ROY BLAIR RD ,DEVILLE ,LA ,15 
ENTERPRISES LLC ,,8380 LA HWY 28 EAST ,PINEVILLE ,LA ,10 
,,LN ,ADDIS ,LA ,1 
RANGE LLC ,,8450 RIVER RANGE RD ,SHREVEPORT ,LA ,1 
,,COVE ROAD ,ABBEVILLE ,LA ,106 
,,RD STE 2 ,WESTBOROUGH ,MA ,7 
,,ROAD SUITE 6-1-3-D ,LITTLETON ,MA ,4 
LLC ,,105 FERNDOC STREET ,HYANNIS ,MA ,1 
,,ST ,PALMER ,MA ,4 
,,RD STE 622Q ,LITTLETON ,MA ,13 
,,ROAD ,HYANNIS ,MA ,1 
,,FINLEY III WAY SUITE 103 ,FRAMINGHAM ,MA ,5 
,,MASSACHUSETTS AVE ,BOXBOROUGH ,MA ,2 
JAMES B ,,410 GREAT ROAD SUITE 6-2-15 ,LITTLETON ,MA ,18 
LLC ,,570 WASHINGTON ST ,WRENTHAM ,MA ,4 
,,MEMORIAL DR ,WORCESTER ,MA ,5644 
INC ,,100 SPRINGDALE RD ,WESTFIELD ,MA ,370443 
CORP ,,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,278372 


Table
57205201 ,JBW CUSTOM ,,,,
57203445 ,KEA WEAPONS SYSTEMS LLC ,2811 ,,FALMOTH ,
57204729 ,KMW LONG ,,,,
57205691 ,LOUISIANA ,,,,
57204962 ,MAMP LLC ,7699 W ,,,70TH 
57205182 ,"MARICLE, DALTON J 9 ",HILL ,,DR ,
57205957 ,MATHEWS ,,,,
57203726 ,MESA KINETIC ,,,,
57206005 ,MICKEY'S ARMS ,,,,
57203852 ,MW PRODUCTIONS ,,,,
57205462 ,PATRICKS GUN SHOP LLC ,1191 ,,HAWN ,
57204706 ,PELICAN ASSETS LLC ,3201 ,,PAUL ,
57205890 ,POWERS METAL WORKS LLC ,228 ,,COLORADO ,
57205320 ,PRECISION ,,,,
57205507 ,PRO BOHA ,,,,
57206055 ,PRO BOHA ,,,,
57203774 ,REA GUNSMITH SHOP LLC ,4340 ,,PARKER ,
57206053 ,RED RIVER ,,,,
57205846 ,REX TACTICAL ARMORY LLC ,6530 ,RICE ,,
60413502 ,5D TACTICAL LLC ,125 ,,FLANDERS ,
60413686 ,"ATCHKASOV, PAVEL ",410 ,GREAT ,,
60413456 ,CROSS FIREARMS ,,,,
60412498 ,CS INDUSTRIES LLC ,13 ,SECOND ,,
60413403 ,"DEAN, RANDALL WILSON ",410 ,GREAT ,,
60411686 ,DOWNRANGE INC ,96 ,AIRPORT ,,
60406097 ,ELITE FIREARMS CORP (NV) ,22 JOHN ,,H ,
60405951 ,FINE LINE FIREARMS LLC ,972 ,,,
60413108 ,"FINNERTY, ",,,,
60413159 ,"G & N GUNSMITHS, ",,,,
60435456 ,"SAEILO, INC ",130 ,,GODDARD ,


