Key,Value
RIFLES,"79,256"
MISC. FIREARMS,"18,498"
REVOLVERS,"23,221"
RIFLES,"2,318,088"
MISC. FIREARMS,"190,407"
SHOTGUNS,"862,401"
SHOTGUNS,"54,878"
PISTOLS,"121,035"
