Key,Value
MISC. FIREARMS,"11,132"
MACHINEGUNS,"47,400"
ALL OTHER NFA WEAPONS,"32,269"
YEAR,2000
PISTOLS,"28,636"
SHOTGUNS,"898,442"
ALL OTHER NFA WEAPONS,"4,114"
MISC. FIREARMS,"30,196"
REVOLVERS,"48,130"
MACHINE GUNS,"11,719"
RIFLES,"49,642"
