Table
PISTOLS ,"28,636 ",
REVOLVERS ,"48,130 ",
RIFLES ,"49,642 ",
SHOTGUNS ,"35,087 ",
MACHINE GUNS ,"11,719 ",
ALL OTHER NFA WEAPONS ,"4,114 ",
MISC. FIREARMS ,"11,132 ",


