MISC FA EXP,2000,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 12658
MISC FA EXP,2000,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 304395
MISC FA EXP,2000,60201484 STURM RUGER & CO INC deSIDNAPEE ST NEWPORT NH 4885
MISC FA EXP,2000,60201484 STURM RUGER & co INC 411 SUNAPEE ST NEWPORT NH 19375 1422 31248 2099 23458 34511 112113
MISC FA EXP,2000,60201484 STURM RUGER 8 co INC 211 SUNAPEE ST NEWPORT NH 246
MISC FA EXP,2000,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 18000
MISC FA EXP,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 242166
MISC FA EXP,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 3740
MISC FA EXP,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 7740
MISC FA EXP,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 9245
MISC FA EXP,2001,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 109
MISC FA EXP,2001,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 16611 4261 48541 2180 28302 50949 150844
MISC FA EXP,2002,60201484 '8thsz RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 21224 16331 44639 1323 27865 36817 148199
MISC FA EXP,2002,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 14099
MISC FA EXP,2002,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 300202
MISC FA EXP,2002,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 4392
MISC FA EXP,2002,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 5505
MISC FA EXP,2002,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 68
MISC FA EXP,2003,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 14924
MISC FA EXP,2003,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 2041
MISC FA EXP,2003,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 233321
MISC FA EXP,2003,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 4538
MISC FA EXP,2003,60201484 STURM, RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 40612 3349 23101 547 26451 16834 110894
MISC FA EXP,2003,60201484 STURM, RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 47
MISC FA EXP,2004,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 15273
MISC FA EXP,2004,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 248884
MISC FA EXP,2004,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 2618
MISC FA EXP,2004,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 31537 1309 24311 396 15617 14789 87959
MISC FA EXP,2004,60201484 STURM, RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 7405
MISC FA EXP,2004,60201484 STURM, RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 105
MISC FA EXP,2005,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 11467
MISC FA EXP,2005,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 1781
MISC FA EXP,2005,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 217562
MISC FA EXP,2005,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 10301 197 30929 161 6290 11073 58951
MISC FA EXP,2005,60201484 STURM, RUGER 8 COMPANY, INC 411 SUNAPEE ST NEWPORT NH 129
MISC FA EXP,2005,60201484 STURM, RUGER 8 COMPANY, INC 411 SUNAPEE ST NEWPORT NH 16234
MISC FA EXP,2006,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 196466
MISC FA EXP,2006,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 5202
MISC FA EXP,2006,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 13133 571 45947 13 18721 27445 105830
MISC FA EXP,2007,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 15375 577 35745 1 17910 24676 94284
MISC FA EXP,2007,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 1754 0 0 0 0 0 1754
MISC FA EXP,2007,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 222902
MISC FA EXP,2007,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 2479
MISC FA EXP,2008,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 1304
MISC FA EXP,2008,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 261656
MISC FA EXP,2008,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 18670 5093 43630 530 12738 16075 96736
MISC FA EXP,2008,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 28438 0 0 0 0 0 28438
MISC FA EXP,2009,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 14549 3982 62739 50426 16004 16125 163825
MISC FA EXP,2009,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 8061 0 0 0 0 8061
MISC FA EXP,2009,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 1075
MISC FA EXP,2009,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 359885
MISC FA EXP,2010,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 1559 0 0 0 0 1559
MISC FA EXP,2010,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 1398
MISC FA EXP,2010,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 236616
MISC FA EXP,2010,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 19743 7399 61938 66121 22752 14522 192475
MISC FA EXP,2011,60201484 STURM, RUGER & COMPANY, 411 SUNAPEE ST NEWPORT NH 31305 4348 77129 41792 18364 20087 193025
MISC FA EXP,2011,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 308282
MISC FA EXP,2011,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 2045 0 0 0 0 2045
MISC FA EXP,2011,60201484 STURM, RUGER 8 COMPANY, INC 411 SUNAPEE ST NEWPORT NH 410
MISC FA EXP,2012,60201484 STURM, RUGER & COMPANY, INC 411 SUNAPEE ST NEWPORT NH 409
MISC FA EXP,2012,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 2 0 0 0 0 0 2
MISC FA EXP,2012,60201484 STURM, RUGER 8 COMPANY, 411 SUNAPEE ST NEWPORT NH 52 1 117 35 59 32 296
MISC FA MFG,2000,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 12658
MISC FA MFG,2000,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 304395
MISC FA MFG,2000,60201484 STURM RUGER & CO INC deSIDNAPEE ST NEWPORT NH 4885
MISC FA MFG,2000,60201484 STURM RUGER & co INC 411 SUNAPEE ST NEWPORT NH 19375 1422 31248 2099 23458 34511 112113
MISC FA MFG,2000,60201484 STURM RUGER 8 co INC 211 SUNAPEE ST NEWPORT NH 246
MISC FA MFG,2000,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 18000
MISC FA MFG,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 242166
MISC FA MFG,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 3740
MISC FA MFG,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 7740
MISC FA MFG,2001,60201484 STURM RUGER & CO INC 411 SUNAPEE ST NEWPORT NH 9245
MISC FA MFG,2001,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 109
MISC FA MFG,2001,60201484 STURM RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 16611 4261 48541 2180 28302 50949 150844
MISC FA MFG,2002,60201484 '8thsz RUGER 8 co INC 411 SUNAPEE ST NEWPORT NH 21224 16331 44639 1323 27865 36817 148199
