RIFLE EXP,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
RIFLE EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
RIFLE EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
RIFLE EXP,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
RIFLE EXP,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
RIFLE EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
RIFLE EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
RIFLE EXP,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
RIFLE EXP,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
RIFLE EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
RIFLE EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
RIFLE EXP,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
RIFLE EXP,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
RIFLE EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RIFLE EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
RIFLE EXP,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
RIFLE EXP,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
RIFLE EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
RIFLE EXP,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
RIFLE EXP,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
RIFLE EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RIFLE EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
RIFLE EXP,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
RIFLE MFG,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
RIFLE MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
RIFLE MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
RIFLE MFG,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
RIFLE MFG,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
RIFLE MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
RIFLE MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
RIFLE MFG,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
RIFLE MFG,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
RIFLE MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
RIFLE MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
RIFLE MFG,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
RIFLE MFG,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
RIFLE MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RIFLE MFG,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
RIFLE MFG,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
RIFLE MFG,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
RIFLE MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE MFG,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
RIFLE MFG,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
RIFLE MFG,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
RIFLE MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RIFLE MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RIFLE MFG,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
RIFLE MFG,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
RVLR EXP,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
RVLR EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
RVLR EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
RVLR EXP,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
RVLR EXP,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
RVLR EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
RVLR EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
RVLR EXP,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
RVLR EXP,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
RVLR EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
RVLR EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
RVLR EXP,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
RVLR EXP,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
RVLR EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RVLR EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
RVLR EXP,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
