MISC FA EXP,2007,98700995 COBRA ENTERPRISES OF 1960 S MILESTONE DR, SALT LAKE CITY UT 5254 194 2108 23668 4166 1006 36396
MISC FA EXP,2008,98700995 COBRA ENTERPRISES OF 1960 s MILESTONE DR, SALT LAKE CITY UT 3434 3428 3511 19014 12223 179 41789
MISC FA EXP,2008,98700995 COBRA ENTERPRISES OF UTAH, INC 1960 S MILESTONE DR, SUITE F SALT LAKE CITY UT 128
MISC FA EXP,2009,98700995 COBRA ENTERPRISES OF 1960 S MILESTONE DR, SALT LAKE CITY UT 8829 410 4041 22768 15352 96 51496
MISC FA EXP,2009,98700995 COBRA ENTERPRISES OF UTAH, 1960 s MILESTONE DR, SALT LAKE CITY UT 0 0 0 1786 0 0 1786
MISC FA EXP,2009,98700995 COBRA ENTERPRISES OF UTAH, INC 1960 S MILESTONE DR, SUITE F SALT LAKE CITY UT 169
MISC FA EXP,2010,98700995 COBRA ENTERPRISES OF 1960 S MILESTONE DR, SALT LAKE CITY UT 5873 180 1466 12456 9915 337 30227
MISC FA EXP,2010,98700995 COBRA ENTERPRISES OF UTAH, 1960 S MILESTONE DR, SALT LAKE CITY UT 0 0 0 669 0 0 669
MISC FA EXP,2010,98700995 COBRA ENTERPRISES OF UTAH, INC 1960 S MILESTONE DR, SUITE F SALT LAKE CITY UT 90
MISC FA EXP,2011,98700995 COBRA ENTERPRISES OF 1960 S MILESTONE DR, SALT LAKE CITY UT 6623 74 1328 19040 3541 1382 31988
MISC FA EXP,2011,98700995 COBRA ENTERPRISES OF UTAH, 1960 S MILESTONE DR, SALT LAKE CITY UT 0 0 0 223 0 0 223
MISC FA EXP,2011,98700995 COBRA ENTERPRISES OF UTAH, INC 1960 S MILESTONE DR, SUITE F SALT LAKE CITY UT 136
MISC FA EXP,2012,98700995 COBRA ENTERPRISES OF 1960 S MILESTONE DR, SALT LAKE CITY UT 8462 96 1580 30886 4544 739 46307
MISC FA EXP,2012,98700995 COBRA ENTERPRISES OF UTAH, 1960 S MILESTONE DR, SALT LAKE CITY UT 0 0 0 681 0 0 681
