PISTOL EXP,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 2351 0 0 0 0 0 2351
PISTOL EXP,2004,98614472 STURM, RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 45099 0 0 0 20475 33428 99002
PISTOL EXP,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 1927
PISTOL EXP,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 618
PISTOL EXP,2005,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 51
PISTOL EXP,2005,98614472 mTéJRM, RUGER & COMPANY, :00 RUGER RD PRESCOTT AZ 59454 0 0 0 35410 30193 125057
PISTOL EXP,2006,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 52157 0 0 0 22213 26606 100976
PISTOL EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2919
PISTOL EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 35
PISTOL EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
PISTOL EXP,2006,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 0 0 9463 0 9463
PISTOL EXP,2006,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 71
PISTOL EXP,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 0 0 0 0 2314 0 2314
PISTOL EXP,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 74477 0 0 0 44221 21565 140263
PISTOL EXP,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2868
PISTOL EXP,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 65
PISTOL EXP,2008,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 59628 0 0 83161 53772 14500 211061
PISTOL EXP,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 5129
PISTOL EXP,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7
PISTOL EXP,2008,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 2
PISTOL EXP,2009,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 82089 0 0 198844 94109 25551 400593
PISTOL EXP,2009,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 120
PISTOL EXP,2009,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7122
PISTOL EXP,2010,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 11703
PISTOL EXP,2010,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 94777 0 0 255789 101911 19443 471920
PISTOL EXP,2011,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 98265 0 0 176778 273615 62267 610925
PISTOL EXP,2011,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 13798
PISTOL EXP,2012,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 250677 0 0 195323 314334 101023 861357
PISTOL EXP,2012,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
PISTOL EXP,2012,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 1
