MISC FA EXP,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
MISC FA MFG,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
PISTOL EXP,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
PISTOLS MFG,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
RIFLE EXP,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
RIFLE MFG,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
RVLR EXP,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
RVLR MFG,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
SHOTGUN EXP,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
SHOTGUN MFG,2002,57500531 LONE STAR ARMAMENT INC :52; S HWY 377-BLD B STEPHENVILLE TX 0 0 0 0 103 103
