MISC FA EXP,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
MISC FA EXP,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
MISC FA EXP,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
MISC FA EXP,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
MISC FA MFG,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
MISC FA MFG,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
MISC FA MFG,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
MISC FA MFG,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
PISTOL EXP,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
PISTOL EXP,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
PISTOL EXP,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
PISTOL EXP,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
PISTOLS MFG,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
PISTOLS MFG,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
PISTOLS MFG,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
PISTOLS MFG,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
RIFLE EXP,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
RIFLE EXP,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
RIFLE EXP,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
RIFLE EXP,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
RIFLE MFG,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
RIFLE MFG,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
RIFLE MFG,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
RIFLE MFG,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
RVLR EXP,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
RVLR EXP,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
RVLR EXP,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
RVLR EXP,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
RVLR MFG,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
RVLR MFG,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
RVLR MFG,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
RVLR MFG,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
SHOTGUN EXP,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
SHOTGUN EXP,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
SHOTGUN EXP,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
SHOTGUN EXP,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
SHOTGUN MFG,2007,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 1 1
SHOTGUN MFG,2007,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 1
SHOTGUN MFG,2008,15404180 FRONT ROYAL 21 WATER ST FRONT ROYAL VA 0 0 0 0 0 2 2
SHOTGUN MFG,2008,15404180 FRONT ROYAL PAWNBROKERS, INC 21 WATER ST FRONT ROYAL VA 4
