MISC FA EXP,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
MISC FA EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
MISC FA EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
MISC FA EXP,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
MISC FA EXP,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
MISC FA EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
MISC FA EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
MISC FA EXP,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
MISC FA EXP,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
MISC FA EXP,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
MISC FA EXP,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
MISC FA MFG,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
MISC FA MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
MISC FA MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
MISC FA MFG,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
MISC FA MFG,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
MISC FA MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
MISC FA MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
MISC FA MFG,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
MISC FA MFG,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
MISC FA MFG,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
MISC FA MFG,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
PISTOL EXP,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
PISTOL EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
PISTOL EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
PISTOL EXP,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
PISTOL EXP,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
PISTOL EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
PISTOL EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
PISTOL EXP,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
PISTOL EXP,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
PISTOL EXP,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
PISTOL EXP,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
PISTOLS MFG,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
PISTOLS MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
PISTOLS MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
PISTOLS MFG,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
PISTOLS MFG,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
PISTOLS MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
PISTOLS MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
PISTOLS MFG,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
PISTOLS MFG,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
PISTOLS MFG,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
PISTOLS MFG,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
RIFLE EXP,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
RIFLE EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
RIFLE EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
RIFLE EXP,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
RIFLE EXP,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
RIFLE EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
RIFLE EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
RIFLE EXP,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
RIFLE EXP,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
RIFLE EXP,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
RIFLE EXP,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
RIFLE MFG,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
RIFLE MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
RIFLE MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
RIFLE MFG,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
RIFLE MFG,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
RIFLE MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
RIFLE MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
RIFLE MFG,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
RIFLE MFG,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
RIFLE MFG,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
RIFLE MFG,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
RVLR EXP,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
RVLR EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
RVLR EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
RVLR EXP,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
RVLR EXP,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
RVLR EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
RVLR EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
RVLR EXP,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
RVLR EXP,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
RVLR EXP,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
RVLR EXP,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
RVLR MFG,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
RVLR MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
RVLR MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
RVLR MFG,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
RVLR MFG,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
RVLR MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
RVLR MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
RVLR MFG,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
RVLR MFG,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
RVLR MFG,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
RVLR MFG,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
SHOTGUN EXP,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
SHOTGUN EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
SHOTGUN EXP,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
SHOTGUN EXP,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
SHOTGUN EXP,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
SHOTGUN EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
SHOTGUN EXP,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
SHOTGUN EXP,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
SHOTGUN EXP,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
SHOTGUN EXP,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
SHOTGUN EXP,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
SHOTGUN MFG,2003,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 3 3
SHOTGUN MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 0 0 0 0 0 833 833
SHOTGUN MFG,2004,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 152
SHOTGUN MFG,2005,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 615
SHOTGUN MFG,2006,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C TULSA OK 67
SHOTGUN MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 218T PL #A, B, c, TULSA OK 0 0 0 0 0 14 14
SHOTGUN MFG,2007,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 272
SHOTGUN MFG,2009,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 979
SHOTGUN MFG,2010,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 410
SHOTGUN MFG,2011,57300150 SPACE-CONSYSTEMS INC 6567 E 21 ST PL #A, B, C, D, E TULSA OK 38
SHOTGUN MFG,2012,57300150 SPACE-CONSYSTEMS INC 6567 E 21ST PL #A, B, C, D, E TULSA OK 238
