Key,Value
RIFLES,"1,496,505"
PISTOLS,"144,779"
MISC. FIREARMS,"35,872"
RIFLES,"102,829"
REVOLVERS,"28,120"
YEAR,2006 **
SHOTGUNS,"714,618"
MISC. FIREARMS,"34,022"
