Table
STREET ,CITY ,ST ,REVOLVERS
200 RUGER RD ,PRESCOTT ,AZ ,35
545 NEWPARK AVE ,WEST HARTFORD ,CT ,14
,MILFORD ,CT ,2
16175 NW 49TH AVE ,MIAMI ,FL ,255
2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,23476
12602 33RD AVENUE SW ,PILLAGER ,MN ,5
529 SUNAPEE ST ,NEWPORT ,NH ,3822
2150 S 950 E ,PROVO ,UT ,511


Table
98614472 ,"STURM, RUGER & COMPANY, INC "
60633345 ,COLT'S MANUFACTURING CO LLC
60600646 ,HARTFORD ARMORY INC
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC
60401684 ,SMITH & WESSON CORP
34101689 ,"MAGNUM RESEARCH, INC "
60200735 ,"STURM, RUGER & COMPANY, INC "
98734026 ,NORTH AMERICAN ARMS INC


